teacher_name,teacher_category,student_type,mismatch_level,seed,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_f1,teacher_recall,student_accuracy,student_auc,student_f1,student_recall,student_precision,student_ece,student_nll,student_brier,student_ts_ece,student_ts_f1,student_ts_recall,student_ts_auc,student_optimal_temp,student_params,teacher_params
DCN,Hybrid,StudentMLP,heterogeneous,42,1.0,0.1,0.6484798853516225,0.7262883829204155,0.543836344314559,0.8755346449957229,0.8610912068789026,0.9112059058536713,0.6895447266071837,0.6445680068434559,0.7412690605017216,0.02548434845290941,0.3122210591419141,0.09891071583009096,0.02102203407396447,0.6895447266071837,0.6445680068434559,0.9112059346328395,0.9357734322547913,36078,205042
DCN,Hybrid,StudentAttention,heterogeneous,42,1.0,0.1,0.6484798853516225,0.7262883829204155,0.543836344314559,0.8755346449957229,0.8616030299928344,0.9128703490418093,0.6799242424242424,0.6142001710863987,0.7613997879109226,0.0076030449500737,0.30589108447202823,0.09686254717396325,0.0067883257636218285,0.6799242424242424,0.6142001710863987,0.9128703490418091,0.9843623042106628,8594,205042
DCN,Hybrid,StudentHybrid,homomorphic,42,1.0,0.1,0.6484798853516225,0.7262883829204155,0.543836344314559,0.8755346449957229,0.8628314054662709,0.9104452724402974,0.690959409594096,0.6407185628742516,0.7497497497497497,0.021453976051530883,0.31218512944723775,0.09882880480170293,0.018033708469847445,0.690959409594096,0.6407185628742516,0.9104453012194655,0.9419606924057007,14743,205042
StandardMLP,MLP,StudentMLP,homomorphic,123,1.292,0.1,0.8275156106049749,0.8812809239356225,0.5222568755316133,0.3939264328485885,0.8581226328180981,0.9120410197541361,0.671563981042654,0.6060735671514115,0.7529224229543039,0.007395269506900658,0.3083631348186492,0.09792589182963297,0.008035875532929802,0.671563981042654,0.6060735671514115,0.9120409621957998,0.9583658576011658,36078,269262
StandardMLP,MLP,StudentAttention,heterogeneous,123,1.0,0.1,0.8275156106049749,0.8812809239356225,0.5222568755316133,0.3939264328485885,0.8634455932029891,0.9178452599386269,0.6773101112723754,0.5988023952095808,0.779510022271715,0.009328959502294249,0.29728756436403897,0.09459746392794485,0.009107457615159797,0.6773101112723754,0.5988023952095808,0.9178452599386266,0.9681908488273621,8594,269262
StandardMLP,MLP,StudentHybrid,heterogeneous,123,1.0,0.1,0.8275156106049749,0.8812809239356225,0.5222568755316133,0.3939264328485885,0.8618077592384072,0.914358606162725,0.6742277992277992,0.5975192472198461,0.7735326688815061,0.00638071937019962,0.3036464892831155,0.09633645440926014,0.00459661659919895,0.6742277992277992,0.5975192472198461,0.914358606162725,0.9656328558921814,14743,269262
RegularizedMLP,MLP,StudentMLP,homomorphic,123,1.292,0.1,0.858941549800389,0.9110930339563104,0.6805748725081131,0.6278870829769033,0.8593510082915344,0.9134012383560923,0.6627393225331369,0.5774165953806673,0.7776497695852534,0.016446098453029787,0.3078630274874018,0.09773685617128179,0.012459060800885192,0.6627393225331369,0.5774165953806673,0.9134012383560923,0.9178712964057922,36078,271310
RegularizedMLP,MLP,StudentAttention,heterogeneous,123,1.0,0.1,0.858941549800389,0.9110930339563104,0.6805748725081131,0.6278870829769033,0.8626266762206981,0.9175503310237475,0.6870335820895522,0.6300256629597947,0.7553846153846154,0.00834269068730209,0.2980211059418002,0.0948709350617507,0.007099153001686245,0.6870335820895522,0.6300256629597947,0.9175503310237474,0.9579139947891235,8594,271310
RegularizedMLP,MLP,StudentHybrid,heterogeneous,123,1.0,0.2,0.858941549800389,0.9110930339563104,0.6805748725081131,0.6278870829769033,0.8601699252738254,0.9135605310516289,0.67813383600377,0.6154833190761334,0.75498426023085,0.005918198503566831,0.3072543942215327,0.09716220588236611,0.005455807718930827,0.67813383600377,0.6154833190761334,0.9135605310516289,0.9582057595252991,14743,271310
DeepMLP,MLP,StudentMLP,homomorphic,123,1.292,0.1,0.8532091309243526,0.9067247879234321,0.6436381709741551,0.5538922155688623,0.8587368205548163,0.913894801089326,0.6632503660322109,0.5812660393498716,0.772159090909091,0.017052843107970894,0.30759275313404266,0.09770739409606831,0.011530088857182375,0.6632503660322109,0.5812660393498716,0.9138948010893259,0.9156931042671204,36078,1978318
DeepMLP,MLP,StudentAttention,heterogeneous,123,1.0,0.1,0.8532091309243526,0.9067247879234321,0.6436381709741551,0.5538922155688623,0.8620124884839799,0.9172621652133761,0.6841611996251171,0.6244653550042771,0.7564766839378239,0.005630105464646879,0.2981140485588846,0.09497128294935317,0.006076734016161028,0.6841611996251171,0.6244653550042771,0.9172621652133761,0.9735289216041565,8594,1978318
DeepMLP,MLP,StudentHybrid,heterogeneous,123,1.0,0.1,0.8532091309243526,0.9067247879234321,0.6436381709741551,0.5538922155688623,0.8590439144231754,0.9131583421771717,0.6709677419354839,0.6005132591958939,0.7601515971846237,0.005866222725741653,0.30734191448262566,0.09806207272943324,0.006414860708732261,0.6709677419354839,0.6005132591958939,0.9131583421771717,0.9811437129974365,14743,1978318
AutoInt,Attention,StudentMLP,heterogeneous,123,2.154,0.3,0.8494216398812571,0.8900700818790356,0.6528203917866415,0.5915312232677502,0.8597604667826799,0.9103397680099746,0.6714628297362111,0.5988023952095808,0.7641921397379913,0.006948427307185048,0.31070855989601476,0.09840717308590446,0.006784619628499902,0.6714628297362111,0.5988023952095808,0.9103397680099747,0.9999898076057434,36078,17666
AutoInt,Attention,StudentAttention,homomorphic,123,2.783,0.1,0.8494216398812571,0.8900700818790356,0.6528203917866415,0.5915312232677502,0.8638550516941345,0.915965750027139,0.6833333333333333,0.6137724550898204,0.7706766917293233,0.006792897848746638,0.3004506826271886,0.09542049918078399,0.0082513518188725,0.6833333333333333,0.6137724550898204,0.915965750027139,0.9901923537254333,8594,17666
AutoInt,Attention,StudentHybrid,heterogeneous,123,5.995,0.1,0.8494216398812571,0.8900700818790356,0.6528203917866415,0.5915312232677502,0.8627290408434845,0.9142101632135695,0.6857276775251934,0.625748502994012,0.7584240539139451,0.007547715487570098,0.3043141722214936,0.09652175231081192,0.005547886260547113,0.6857276775251934,0.625748502994012,0.9142101344344014,0.9635518789291382,14743,17666
FTTransformer,Attention,StudentMLP,heterogeneous,123,3.594,0.5,0.8482956290306071,0.8995995839222989,0.6418559690671822,0.5680068434559452,0.8558706111167981,0.9094012793376278,0.6617011052378664,0.5889649272882805,0.7549342105263158,0.01122728559297321,0.3161800553318139,0.09966852703691687,0.009341999697369803,0.6617011052378664,0.5889649272882805,0.909401308116796,1.0278440713882446,36078,54882
FTTransformer,Attention,StudentAttention,homomorphic,123,1.0,0.1,0.8482956290306071,0.8995995839222989,0.6418559690671822,0.5680068434559452,0.8634455932029891,0.9168934177322728,0.6881720430107527,0.6295979469632165,0.7587628865979381,0.00939595727910648,0.29832763492284103,0.09505088261853782,0.009396039200791293,0.6881720430107527,0.6295979469632165,0.9168934177322732,1.0000131130218506,8594,54882
FTTransformer,Attention,StudentHybrid,heterogeneous,123,2.154,0.1,0.8482956290306071,0.8995995839222989,0.6418559690671822,0.5680068434559452,0.8595557375371071,0.9132423197897417,0.6877560309512972,0.646278870829769,0.7349221789883269,0.013362024336548413,0.3078288127398028,0.09789668489743662,0.012536273783589354,0.6877560309512972,0.646278870829769,0.9132423197897417,0.9798281192779541,14743,54882
TabTransformer,Attention,StudentMLP,heterogeneous,123,2.154,0.1,0.8514689323369843,0.8992365347164833,0.676332812848539,0.6484174508126604,0.8593510082915344,0.9125942704820477,0.6687560270009644,0.5932420872540634,0.7662983425414365,0.015871354223078647,0.3078390117570346,0.09796401547809422,0.014998975348603472,0.6687560270009644,0.5932420872540634,0.9125942704820478,1.0119389295578003,36078,154882
TabTransformer,Attention,StudentAttention,homomorphic,123,7.743,0.1,0.8514689323369843,0.8992365347164833,0.676332812848539,0.6484174508126604,0.8632408639574163,0.9164221300751632,0.6928735632183908,0.6445680068434559,0.7490059642147118,0.009172732079315246,0.29999616655789274,0.0950818249740792,0.008642821292914292,0.6928735632183908,0.6445680068434559,0.9164221300751632,0.9765455722808838,8594,154882
