teacher_name,teacher_category,student_type,mismatch_level,distill_temperature,alpha,teacher_accuracy,teacher_auc,teacher_ece,teacher_params,student_accuracy,student_auc,student_ece,student_ts_ece,student_optimal_temp,student_params,compression_ratio,training_time
StandardMLP,MLP,MLP,0,7.743,0.2,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8630361347118436,0.9135182544536625,0.018023680531770555,0.013600982993319499,0.9183224439620972,35950,7.482781641168289,11.402750730514526
StandardMLP,MLP,MLP,0,7.743,0.3,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8605793837649708,0.9135378818463196,0.017105423486797743,0.013784407910765325,0.9135408997535706,35950,7.482781641168289,11.661107540130615
StandardMLP,MLP,MLP,0,7.743,0.4,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.860067560651039,0.9116724449480413,0.02107799474646825,0.01654454283298057,0.8792272210121155,35950,7.482781641168289,9.588426113128662
StandardMLP,MLP,MLP,0,7.743,0.5,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8632408639574163,0.9129075605061865,0.02101897402464494,0.014137877125629736,0.8939129710197449,35950,7.482781641168289,14.667264223098755
StandardMLP,MLP,MLP,0,7.743,0.6,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8648786979219981,0.9136626107609453,0.027645881225309497,0.020580368020210165,0.8667858242988586,35950,7.482781641168289,14.130294561386108
StandardMLP,MLP,MLP,0,7.743,0.7,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8623195823523391,0.9133397372738231,0.022492992608278015,0.0164238080429633,0.8870962858200073,35950,7.482781641168289,13.038568496704102
StandardMLP,MLP,MLP,0,7.743,0.8,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8625243115979118,0.9127261654095349,0.026895325898983816,0.018766966885878034,0.864606499671936,35950,7.482781641168289,13.805318117141724
StandardMLP,MLP,MLP,0,7.743,0.9,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8623195823523391,0.9133046554678866,0.027201644612186604,0.018329609951565146,0.8662274479866028,35950,7.482781641168289,9.273460865020752
StandardMLP,MLP,MLP,0,7.743,1.0,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8613983007472618,0.9118436522191786,0.03177525549105044,0.02650197622966761,0.8624727725982666,35950,7.482781641168289,12.6005117893219
StandardMLP,MLP,MLP,0,10.0,0.1,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8623195823523391,0.9134442919915978,0.01794469505792533,0.016829301763586383,0.9540170431137085,35950,7.482781641168289,14.78705906867981
StandardMLP,MLP,MLP,0,10.0,0.2,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8626266762206981,0.913239010185408,0.01976065239120206,0.01969896639939499,0.9488171935081482,35950,7.482781641168289,10.690834045410156
StandardMLP,MLP,MLP,0,10.0,0.3,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8592486436687481,0.9134571562797468,0.017012820970268967,0.01496960371137824,0.9070079922676086,35950,7.482781641168289,10.706918478012085
StandardMLP,MLP,MLP,0,10.0,0.4,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8618077592384072,0.9135956416367336,0.017626186609512245,0.013796941917864396,0.8977084755897522,35950,7.482781641168289,12.647549390792847
StandardMLP,MLP,MLP,0,10.0,0.5,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8639574163169209,0.912965924659131,0.026118712444634422,0.01714540487186779,0.8716698288917542,35950,7.482781641168289,13.264896154403687
StandardMLP,MLP,MLP,0,10.0,0.6,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8629337700890573,0.912525919957766,0.023470028655252512,0.01889014569818456,0.8819360733032227,35950,7.482781641168289,15.892593383789062
StandardMLP,MLP,MLP,0,10.0,0.7,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8618077592384072,0.9122248035217413,0.02826564408413939,0.01706819190556115,0.8576315641403198,35950,7.482781641168289,17.34613537788391
StandardMLP,MLP,MLP,0,10.0,0.8,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8612959361244754,0.9126686934108021,0.02935298444501685,0.02238101382843852,0.8668513298034668,35950,7.482781641168289,15.169832944869995
StandardMLP,MLP,MLP,0,10.0,0.9,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8630361347118436,0.9133570911121985,0.02658232831762151,0.017884901909418664,0.8687070608139038,35950,7.482781641168289,13.166144371032715
StandardMLP,MLP,MLP,0,10.0,1.0,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.860067560651039,0.9130788541148281,0.029095271843850568,0.025840042669000782,0.8874365091323853,35950,7.482781641168289,13.269030332565308
StandardMLP,MLP,Attention,2,1.0,0.1,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8628314054662709,0.9172228816488943,0.00712871458505349,0.0067167564086735776,1.0095633268356323,8466,31.774864162532484,55.844820737838745
StandardMLP,MLP,Attention,2,1.0,0.2,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8647763332992118,0.9166755594296151,0.008992949343759417,0.00772715806091609,0.9796998500823975,8466,31.774864162532484,59.67286276817322
StandardMLP,MLP,Attention,2,1.0,0.3,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8616030299928344,0.9161526419449006,0.009898875229962897,0.009436106484328811,0.9510154128074646,8466,31.774864162532484,52.09903287887573
StandardMLP,MLP,Attention,2,1.0,0.4,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8622172177295526,0.9167125694398158,0.01259413145902775,0.010131869937209055,0.9348345994949341,8466,31.774864162532484,50.60512709617615
StandardMLP,MLP,Attention,2,1.0,0.5,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8638550516941345,0.9166862652801555,0.015245286822746123,0.011816658960514813,0.9146838784217834,8466,31.774864162532484,53.15438485145569
StandardMLP,MLP,Attention,2,1.0,0.6,0.8599651960282526,0.9108347409224461,0.027478801164147255,269006,0.8623195823523391,0.917076194228994,0.02092666276640506,0.01156931758775037,0.8768279552459717,8466,31.774864162532484,53.92972469329834
